[grpo seed=0] training 500000 steps on cuda ...
[grpo] step    3873/500000 | vs random 0.93 vs negamax 0.01 (p1 0.02/p2 0.00) | ploss +0.211 ent 1.48 | train_wr 0.53 | mix r/n/s 0.83/0.09/0.08 lr 3.0e-04 | 91 st/s
[grpo] step    7552/500000 | vs random 0.89 vs negamax 0.04 (p1 0.02/p2 0.06) | ploss +0.030 ent 1.72 | train_wr 0.47 | mix r/n/s 0.82/0.10/0.09 lr 3.0e-04 | 88 st/s
[grpo] step   11221/500000 | vs random 0.90 vs negamax 0.00 (p1 0.00/p2 0.00) | ploss +0.085 ent 1.63 | train_wr 0.50 | mix r/n/s 0.80/0.11/0.09 lr 3.0e-04 | 88 st/s
[grpo] step   15039/500000 | vs random 0.92 vs negamax 0.05 (p1 0.08/p2 0.02) | ploss +0.085 ent 1.68 | train_wr 0.49 | mix r/n/s 0.79/0.12/0.10 lr 3.0e-04 | 88 st/s
[grpo] step   18639/500000 | vs random 0.87 vs negamax 0.01 (p1 0.02/p2 0.00) | ploss +0.075 ent 1.66 | train_wr 0.49 | mix r/n/s 0.77/0.13/0.10 lr 3.0e-04 | 87 st/s
[grpo] step   22153/500000 | vs random 0.86 vs negamax 0.01 (p1 0.00/p2 0.02) | ploss +0.104 ent 1.54 | train_wr 0.57 | mix r/n/s 0.76/0.14/0.10 lr 3.0e-04 | 87 st/s
[grpo] step   25684/500000 | vs random 0.89 vs negamax 0.00 (p1 0.00/p2 0.00) | ploss +0.140 ent 1.46 | train_wr 0.65 | mix r/n/s 0.75/0.14/0.11 lr 3.0e-04 | 89 st/s
[grpo] step   29108/500000 | vs random 0.90 vs negamax 0.03 (p1 0.04/p2 0.02) | ploss +0.080 ent 1.40 | train_wr 0.54 | mix r/n/s 0.74/0.15/0.11 lr 3.0e-04 | 89 st/s
[grpo] step   32328/500000 | vs random 0.85 vs negamax 0.03 (p1 0.04/p2 0.02) | ploss +0.120 ent 1.30 | train_wr 0.64 | mix r/n/s 0.72/0.16/0.12 lr 3.0e-04 | 89 st/s
[grpo] step   35461/500000 | vs random 0.85 vs negamax 0.04 (p1 0.04/p2 0.04) | ploss +0.127 ent 1.27 | train_wr 0.62 | mix r/n/s 0.71/0.17/0.12 lr 3.0e-04 | 89 st/s
[grpo] step   38516/500000 | vs random 0.89 vs negamax 0.03 (p1 0.06/p2 0.00) | ploss +0.120 ent 1.17 | train_wr 0.62 | mix r/n/s 0.70/0.17/0.12 lr 3.0e-04 | 89 st/s
[grpo] step   41397/500000 | vs random 0.90 vs negamax 0.00 (p1 0.00/p2 0.00) | ploss +0.162 ent 1.11 | train_wr 0.67 | mix r/n/s 0.69/0.18/0.12 lr 3.0e-04 | 89 st/s
[grpo] step   44326/500000 | vs random 0.89 vs negamax 0.02 (p1 0.02/p2 0.02) | ploss +0.140 ent 1.06 | train_wr 0.62 | mix r/n/s 0.68/0.19/0.13 lr 2.9e-04 | 89 st/s
[grpo] step   47033/500000 | vs random 0.89 vs negamax 0.02 (p1 0.04/p2 0.00) | ploss +0.086 ent 1.01 | train_wr 0.57 | mix r/n/s 0.68/0.19/0.13 lr 2.9e-04 | 89 st/s
[grpo] step   49894/500000 | vs random 0.88 vs negamax 0.01 (p1 0.02/p2 0.00) | ploss +0.151 ent 0.96 | train_wr 0.63 | mix r/n/s 0.67/0.20/0.13 lr 2.9e-04 | 89 st/s
[grpo] step   52726/500000 | vs random 0.89 vs negamax 0.03 (p1 0.02/p2 0.04) | ploss +0.217 ent 0.95 | train_wr 0.69 | mix r/n/s 0.66/0.21/0.14 lr 2.9e-04 | 89 st/s
[grpo] step   55460/500000 | vs random 0.92 vs negamax 0.02 (p1 0.02/p2 0.02) | ploss +0.075 ent 0.93 | train_wr 0.54 | mix r/n/s 0.65/0.21/0.14 lr 2.9e-04 | 89 st/s
[grpo] step   58227/500000 | vs random 0.88 vs negamax 0.03 (p1 0.06/p2 0.00) | ploss +0.139 ent 0.91 | train_wr 0.60 | mix r/n/s 0.64/0.22/0.14 lr 2.9e-04 | 88 st/s
[grpo] step   60995/500000 | vs random 0.88 vs negamax 0.05 (p1 0.10/p2 0.00) | ploss +0.070 ent 0.95 | train_wr 0.58 | mix r/n/s 0.63/0.22/0.14 lr 2.9e-04 | 88 st/s
[grpo] step   63799/500000 | vs random 0.92 vs negamax 0.05 (p1 0.08/p2 0.02) | ploss +0.188 ent 0.96 | train_wr 0.67 | mix r/n/s 0.63/0.23/0.15 lr 2.9e-04 | 88 st/s
[grpo] step   66520/500000 | vs random 0.89 vs negamax 0.13 (p1 0.18/p2 0.08) | ploss +0.114 ent 1.03 | train_wr 0.61 | mix r/n/s 0.62/0.23/0.15 lr 2.9e-04 | 87 st/s
[grpo] step   69549/500000 | vs random 0.92 vs negamax 0.06 (p1 0.10/p2 0.02) | ploss +0.043 ent 1.10 | train_wr 0.58 | mix r/n/s 0.61/0.24/0.15 lr 2.9e-04 | 87 st/s
[grpo] step   72429/500000 | vs random 0.97 vs negamax 0.06 (p1 0.06/p2 0.06) | ploss +0.094 ent 1.09 | train_wr 0.58 | mix r/n/s 0.60/0.25/0.15 lr 2.9e-04 | 87 st/s
[grpo] step   75340/500000 | vs random 0.90 vs negamax 0.05 (p1 0.08/p2 0.02) | ploss +0.126 ent 1.11 | train_wr 0.59 | mix r/n/s 0.59/0.25/0.16 lr 2.9e-04 | 86 st/s
