[ppo seed=0] training 500000 steps on cuda ...
[ppo ] step    2048/500000 | vs random 0.89 vs negamax 0.00 (p1 0.00/p2 0.00) | ploss +0.022 vloss 1.896 ent 1.75 | mix r/n/s 0.84/0.08/0.08 lr 3.0e-04 | 73 st/s
[ppo ] step    4096/500000 | vs random 0.83 vs negamax 0.01 (p1 0.00/p2 0.02) | ploss -0.006 vloss 0.967 ent 1.69 | mix r/n/s 0.83/0.09/0.08 lr 3.0e-04 | 78 st/s
[ppo ] step    6144/500000 | vs random 0.91 vs negamax 0.01 (p1 0.00/p2 0.02) | ploss -0.009 vloss 0.989 ent 1.72 | mix r/n/s 0.82/0.09/0.08 lr 3.0e-04 | 79 st/s
[ppo ] step    8192/500000 | vs random 0.89 vs negamax 0.01 (p1 0.00/p2 0.02) | ploss -0.009 vloss 0.985 ent 1.74 | mix r/n/s 0.81/0.10/0.09 lr 3.0e-04 | 80 st/s
[ppo ] step   10240/500000 | vs random 0.84 vs negamax 0.01 (p1 0.00/p2 0.02) | ploss -0.008 vloss 0.867 ent 1.72 | mix r/n/s 0.81/0.11/0.09 lr 3.0e-04 | 81 st/s
[ppo ] step   12288/500000 | vs random 0.88 vs negamax 0.01 (p1 0.02/p2 0.00) | ploss -0.003 vloss 1.075 ent 1.70 | mix r/n/s 0.80/0.11/0.09 lr 3.0e-04 | 82 st/s
[ppo ] step   14336/500000 | vs random 0.83 vs negamax 0.01 (p1 0.02/p2 0.00) | ploss -0.012 vloss 0.880 ent 1.57 | mix r/n/s 0.79/0.12/0.09 lr 3.0e-04 | 82 st/s
[ppo ] step   16384/500000 | vs random 0.88 vs negamax 0.01 (p1 0.00/p2 0.02) | ploss -0.017 vloss 0.885 ent 1.45 | mix r/n/s 0.78/0.12/0.10 lr 3.0e-04 | 82 st/s
[ppo ] step   18432/500000 | vs random 0.89 vs negamax 0.02 (p1 0.04/p2 0.00) | ploss -0.019 vloss 0.693 ent 1.35 | mix r/n/s 0.77/0.13/0.10 lr 3.0e-04 | 82 st/s
[ppo ] step   20480/500000 | vs random 0.96 vs negamax 0.00 (p1 0.00/p2 0.00) | ploss -0.016 vloss 0.732 ent 1.29 | mix r/n/s 0.77/0.13/0.10 lr 3.0e-04 | 82 st/s
[ppo ] step   22528/500000 | vs random 0.94 vs negamax 0.03 (p1 0.06/p2 0.00) | ploss -0.018 vloss 0.765 ent 1.28 | mix r/n/s 0.76/0.14/0.10 lr 3.0e-04 | 81 st/s
[ppo ] step   24576/500000 | vs random 0.91 vs negamax 0.01 (p1 0.02/p2 0.00) | ploss -0.021 vloss 0.693 ent 1.26 | mix r/n/s 0.75/0.14/0.11 lr 3.0e-04 | 80 st/s
[ppo ] step   26624/500000 | vs random 0.93 vs negamax 0.07 (p1 0.12/p2 0.02) | ploss -0.017 vloss 0.717 ent 1.23 | mix r/n/s 0.74/0.15/0.11 lr 3.0e-04 | 80 st/s
[ppo ] step   28672/500000 | vs random 0.88 vs negamax 0.03 (p1 0.06/p2 0.00) | ploss -0.017 vloss 0.740 ent 1.14 | mix r/n/s 0.74/0.15/0.11 lr 3.0e-04 | 80 st/s
[ppo ] step   30720/500000 | vs random 0.98 vs negamax 0.00 (p1 0.00/p2 0.00) | ploss -0.013 vloss 0.613 ent 1.03 | mix r/n/s 0.73/0.16/0.11 lr 3.0e-04 | 80 st/s
[ppo ] step   32768/500000 | vs random 0.88 vs negamax 0.00 (p1 0.00/p2 0.00) | ploss -0.019 vloss 0.650 ent 1.00 | mix r/n/s 0.72/0.16/0.12 lr 3.0e-04 | 80 st/s
[ppo ] step   34816/500000 | vs random 0.90 vs negamax 0.04 (p1 0.04/p2 0.04) | ploss -0.013 vloss 0.666 ent 0.94 | mix r/n/s 0.72/0.17/0.12 lr 3.0e-04 | 79 st/s
[ppo ] step   36864/500000 | vs random 0.94 vs negamax 0.02 (p1 0.04/p2 0.00) | ploss -0.018 vloss 0.541 ent 0.88 | mix r/n/s 0.71/0.17/0.12 lr 3.0e-04 | 79 st/s
[ppo ] step   38912/500000 | vs random 0.89 vs negamax 0.00 (p1 0.00/p2 0.00) | ploss -0.013 vloss 0.585 ent 0.84 | mix r/n/s 0.70/0.18/0.12 lr 3.0e-04 | 79 st/s
[ppo ] step   40960/500000 | vs random 0.93 vs negamax 0.02 (p1 0.04/p2 0.00) | ploss -0.015 vloss 0.596 ent 0.85 | mix r/n/s 0.70/0.18/0.12 lr 3.0e-04 | 79 st/s
[ppo ] step   43008/500000 | vs random 0.97 vs negamax 0.02 (p1 0.04/p2 0.00) | ploss -0.020 vloss 0.578 ent 0.79 | mix r/n/s 0.69/0.18/0.13 lr 3.0e-04 | 80 st/s
[ppo ] step   45056/500000 | vs random 0.93 vs negamax 0.09 (p1 0.14/p2 0.04) | ploss -0.015 vloss 0.556 ent 0.81 | mix r/n/s 0.68/0.19/0.13 lr 2.9e-04 | 79 st/s
[ppo ] step   47104/500000 | vs random 0.95 vs negamax 0.01 (p1 0.02/p2 0.00) | ploss -0.012 vloss 0.615 ent 0.84 | mix r/n/s 0.68/0.19/0.13 lr 2.9e-04 | 79 st/s
[ppo ] step   49152/500000 | vs random 0.94 vs negamax 0.04 (p1 0.04/p2 0.04) | ploss -0.016 vloss 0.524 ent 0.89 | mix r/n/s 0.67/0.20/0.13 lr 2.9e-04 | 79 st/s
[ppo ] step   51200/500000 | vs random 0.95 vs negamax 0.04 (p1 0.04/p2 0.04) | ploss -0.015 vloss 0.533 ent 0.86 | mix r/n/s 0.66/0.20/0.13 lr 2.9e-04 | 79 st/s
[ppo ] step   53248/500000 | vs random 0.94 vs negamax 0.01 (p1 0.02/p2 0.00) | ploss -0.010 vloss 0.560 ent 0.80 | mix r/n/s 0.66/0.21/0.14 lr 2.9e-04 | 78 st/s
[ppo ] step   55296/500000 | vs random 0.91 vs negamax 0.06 (p1 0.12/p2 0.00) | ploss -0.013 vloss 0.503 ent 0.86 | mix r/n/s 0.65/0.21/0.14 lr 2.9e-04 | 78 st/s
[ppo ] step   57344/500000 | vs random 0.94 vs negamax 0.08 (p1 0.10/p2 0.06) | ploss -0.008 vloss 0.592 ent 0.78 | mix r/n/s 0.64/0.22/0.14 lr 2.9e-04 | 78 st/s
[ppo ] step   59392/500000 | vs random 0.95 vs negamax 0.08 (p1 0.14/p2 0.02) | ploss -0.020 vloss 0.556 ent 0.77 | mix r/n/s 0.64/0.22/0.14 lr 2.9e-04 | 77 st/s
[ppo ] step   61440/500000 | vs random 0.91 vs negamax 0.08 (p1 0.06/p2 0.10) | ploss -0.014 vloss 0.548 ent 0.79 | mix r/n/s 0.63/0.22/0.14 lr 2.9e-04 | 77 st/s
[ppo ] step   63488/500000 | vs random 0.96 vs negamax 0.05 (p1 0.10/p2 0.00) | ploss -0.010 vloss 0.510 ent 0.75 | mix r/n/s 0.63/0.23/0.15 lr 2.9e-04 | 76 st/s
[ppo ] step   65536/500000 | vs random 0.98 vs negamax 0.21 (p1 0.20/p2 0.22) | ploss -0.022 vloss 0.495 ent 0.75 | mix r/n/s 0.62/0.23/0.15 lr 2.9e-04 | 76 st/s
[ppo ] step   67584/500000 | vs random 0.97 vs negamax 0.24 (p1 0.34/p2 0.14) | ploss -0.009 vloss 0.490 ent 0.79 | mix r/n/s 0.61/0.24/0.15 lr 2.9e-04 | 75 st/s
[ppo ] step   69632/500000 | vs random 0.96 vs negamax 0.17 (p1 0.20/p2 0.14) | ploss -0.020 vloss 0.583 ent 0.84 | mix r/n/s 0.61/0.24/0.15 lr 2.9e-04 | 75 st/s
[ppo ] step   71680/500000 | vs random 1.00 vs negamax 0.15 (p1 0.20/p2 0.10) | ploss -0.026 vloss 0.485 ent 0.82 | mix r/n/s 0.60/0.24/0.15 lr 2.9e-04 | 74 st/s
[ppo ] step   73728/500000 | vs random 0.96 vs negamax 0.24 (p1 0.32/p2 0.16) | ploss -0.015 vloss 0.572 ent 0.87 | mix r/n/s 0.60/0.25/0.16 lr 2.9e-04 | 74 st/s
[ppo ] step   75776/500000 | vs random 0.97 vs negamax 0.14 (p1 0.12/p2 0.16) | ploss -0.018 vloss 0.519 ent 0.84 | mix r/n/s 0.59/0.25/0.16 lr 2.8e-04 | 73 st/s
[ppo ] step   77824/500000 | vs random 0.88 vs negamax 0.24 (p1 0.34/p2 0.14) | ploss -0.021 vloss 0.552 ent 0.80 | mix r/n/s 0.59/0.26/0.16 lr 2.8e-04 | 73 st/s
[ppo ] step   79872/500000 | vs random 0.94 vs negamax 0.22 (p1 0.28/p2 0.16) | ploss -0.017 vloss 0.519 ent 0.86 | mix r/n/s 0.58/0.26/0.16 lr 2.8e-04 | 72 st/s
[ppo ] step   81920/500000 | vs random 0.95 vs negamax 0.22 (p1 0.30/p2 0.14) | ploss -0.020 vloss 0.531 ent 0.82 | mix r/n/s 0.58/0.26/0.16 lr 2.8e-04 | 72 st/s
[ppo ] step   83968/500000 | vs random 0.93 vs negamax 0.37 (p1 0.42/p2 0.32) | ploss -0.016 vloss 0.539 ent 0.77 | mix r/n/s 0.57/0.27/0.16 lr 2.8e-04 | 71 st/s
[ppo ] step   86016/500000 | vs random 0.97 vs negamax 0.26 (p1 0.38/p2 0.14) | ploss -0.024 vloss 0.487 ent 0.85 | mix r/n/s 0.56/0.27/0.17 lr 2.8e-04 | 71 st/s
[ppo ] step   88064/500000 | vs random 0.94 vs negamax 0.27 (p1 0.28/p2 0.26) | ploss -0.019 vloss 0.478 ent 0.74 | mix r/n/s 0.56/0.27/0.17 lr 2.8e-04 | 71 st/s
[ppo ] step   90112/500000 | vs random 0.94 vs negamax 0.27 (p1 0.28/p2 0.26) | ploss -0.019 vloss 0.562 ent 0.86 | mix r/n/s 0.55/0.28/0.17 lr 2.8e-04 | 70 st/s
[ppo ] step   92160/500000 | vs random 0.96 vs negamax 0.23 (p1 0.32/p2 0.14) | ploss -0.023 vloss 0.485 ent 0.88 | mix r/n/s 0.55/0.28/0.17 lr 2.8e-04 | 70 st/s
[ppo ] step   94208/500000 | vs random 0.97 vs negamax 0.40 (p1 0.52/p2 0.28) | ploss -0.018 vloss 0.524 ent 0.73 | mix r/n/s 0.54/0.28/0.17 lr 2.8e-04 | 70 st/s
[ppo ] step   96256/500000 | vs random 0.95 vs negamax 0.32 (p1 0.44/p2 0.20) | ploss -0.022 vloss 0.438 ent 0.76 | mix r/n/s 0.54/0.29/0.17 lr 2.8e-04 | 71 st/s
[ppo ] step   98304/500000 | vs random 0.98 vs negamax 0.28 (p1 0.40/p2 0.16) | ploss -0.016 vloss 0.450 ent 0.73 | mix r/n/s 0.53/0.29/0.18 lr 2.8e-04 | 71 st/s
[ppo ] step  100352/500000 | vs random 0.95 vs negamax 0.34 (p1 0.34/p2 0.34) | ploss -0.021 vloss 0.486 ent 0.71 | mix r/n/s 0.53/0.29/0.18 lr 2.7e-04 | 72 st/s
